Index,Product Company Name: ,Product Name: ,Product MRP: ,Product Price: ,Dicount Information,Product Details ,Product Code,Seller Information,Source of Product
69,"""Solly Jeans Co.""","""Men Blue Solid Polo Collar T-shirt""",Rs. 1599,Rs. 1599,0,"""{'Product Details ': '""Blue solid T-shirt, has a polo collar, and short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% CottonMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Polo Collar,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11569984,Sold by: Aditya Birla Fashion and Retail Limited (Madura Fashion & Lifestyle)  Aditya Birla Fashion and Retail Limited (Madura Fashion & Lifestyle) ,"""Manufacturer/Packer/Importer Details::MAITRI KNITWEAR,BEHIND HP GAS AGENCY,VILLAGE BAJRA,-141007,LUDHIANA,Punjab-----Country of origin::India-----"""
70,"""Louis Philippe Sport""","""Men Navy Blue & Grey Melange Striped Polo Collar T-shirt""",Rs. 1699,Rs. 1529,(10% OFF),"""{'Product Details ': '""Navy Blue, Grey Melange and White striped T-shirt, has a polo collar, and short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""95% cotton, 5% polyesterMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fabric 2:Polyester,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Polo Collar,Occasion:Casual,Pattern:Striped,Print or Pattern Type:Striped,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11466102,Sold by: Truenet Commerce  Truenet Commerce ,"""Manufacturer/Packer/Importer Details::NYLON HOSIERY MILLS CIVIL LINES,,CEMETRY ROAD 141001 LUDHIANA Punjab-----Country of origin::India-----"""
71,"""Roadster""","""Men Teal Blue Printed Round Neck T-shirt""",Rs. 599,Rs. 329,(45% OFF),"""{'Product Details ': '""Teal blue printed T-shirt, has a V-neck, short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Cotton  Machine-wash""', 'Complete The Look': '""Designed by the team at Roadster, you\'re definitely in for a style treat with this cotton T-shirt.  This teal piece can be teamed with cuffed chinos and canvas shoes when you\'re meeting the guys for drinks.""'}""",2310385,Sold by: Truenet Commerce  Truenet Commerce ,"""Manufacturer/Packer/Importer Details::MACFIT FASHIONS,NO-1,5/6 , SINGARAVELAN NAGAR,1ST STREET,SAKTHI THEATRE ROAD ,CHETTIPALAYAM,Tirupur,TAMILNADU,641603-----Country of origin::INDIA-----"""
72,"""HERE&NOW""","""Men Navy Blue & White Colourblocked Polo Collar T-shirt""",Rs. 1199,Rs. 1199,0,"""{'Product Details ': '""Navy Blue and White colourblocked T-shirt, has a polo collar, and short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Material: 100% CottonMachine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Colourblocked,Multipack Set:Single,Neck:Polo Collar,Occasion:Casual,Pattern:Colourblocked,Print or Pattern Type:Colourblocked,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",10829762,Sold by: Omnitech Retail  Omnitech Retail ,"""Manufacturer/Packer/Importer Details::SHRI GANAPATHI SOURSES, 115/2 Behind SSK Knit Printers, Palladam Road, Mangalam,Tripur,TIRUPPUR,TAMILNADU,641663-----Country of origin::INDIA-----"""
73,"""UNDER ARMOUR""","""Men Charcoal Grey MK1 Short Sleeve Emboss T-shirt""",Rs. 2799,Rs. 2799,0,"""{'Product Details ': '""Special technologiesHeatGear\xa0fabric is ultra-soft and\xa0smooth for extreme comfort with very little weightMesh panels for strategic ventilationMaterial wicks sweat and dries really fastAnti-odor technology prevents the growth of odor-causing microbesProduct design detailsDropped, shaped hem for enhanced coverageRaglan sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""90% polyester, 10% elastaneMachine-wash""', 'Specifications': '""""Fabric:Polyester,Fabric 2:Elastane,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Round Neck,Occasion:Sports,Pattern:Checked,Print or Pattern Type:Checked,Sleeve Length:Short Sleeves,Sleeve Styling:Raglan Sleeves,Technology:Anti Odour,Wash Care:Machine Wash,""""'}""",10819042,Sold by: Supercom Net  Supercom Net ,"""Manufacturer/Packer/Importer Details::VEGA TEXTILE LTD AL HUSSEIN BIN ABDULLAH II KARAK 61112-----Country of origin::Jordan-----"""
74,"""WROGN""","""Men Maroon Printed T-shirt""",Rs. 699,Rs. 454,(35% OFF),"""{'Product Details ': '""Maroon printed T-shirt, has a round neck, short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Cotton  Machine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Slim Fit,Length:Regular,Main Trend:Typography or Slogan Prints,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Printed,Pattern Coverage:Placement,Print or Pattern Type:Typography,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",2338881,Sold by: Flashstar Commerce  Flashstar Commerce ,"""Manufacturer/Packer/Importer Details::Universal SportsBiz Private Limited,Universal Sports Biz Pvt. Ltd.Next SCM solutions Pvt. Ltd.,#88/3, Seggehalli village, Kadugodi,BANGALORE,KARNATAKA,560067-----Country of origin::INDIA-----"""
75,"""Roadster""","""Men Mustard Yellow & Black Printed Round Neck T-shirt""",Rs. 599,Rs. 359,(40% OFF),"""{'Product Details ': '""Mustard yellow and black printed T-shirt, has a round neck, and short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Material: Cotton Machine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Abstract,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Printed,Pattern Coverage:Chest,Print or Pattern Type:Typography,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Surface Styling:Raw Edge,Wash Care:Machine Wash,""""'}""",11554128,Sold by: Truenet Commerce  Truenet Commerce ,"""Manufacturer/Packer/Importer Details::YES ENTERPRISES-2996/97,back side P.N.B Sunder Nagar-LUDHIANA-PUNJAB-141008-----Country of origin::INDIA-----"""
76,"""Mast & Harbour""","""Men Mustard Yellow & White Striped Round Neck T-shirt""",Rs. 499,Rs. 349,(30% OFF),"""{'Product Details ': '""Mustard yellow and white striped T-shirt, has a round neck, short sleeves, 1 pocket""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Cotton Machine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Pocket Detailing,Multipack Set:Single,Neck:Round Neck,Number of Pockets:1,Occasion:Casual,Pattern:Striped,Print or Pattern Type:Striped,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Surface Styling:Pockets,Wash Care:Machine Wash,""""'}""",2232099,Sold by: Truecom Retail  Truecom Retail ,"""Manufacturer/Packer/Importer Details::POPPYS APPARELS,NO.57, APPACHI NAGAR MAIN ROAD,TIRUPUR,TAMILNADU,641607-----Country of origin::INDIA-----"""
77,"""Calvin Klein Jeans""","""Men Orange Solid Polo Collar T-shirt""",Rs. 3999,Rs. 3999,0,"""{'Product Details ': '""Orange solid T-shirt, has a polo collar, short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% cottonMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Polo Collar,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",7158507,Sold by: Indiflashmart  Indiflashmart ,"""Manufacturer/Packer/Importer Details::CALVIN KLEIN ARVIND FASHION PRIVATE LIMITED, DUPARC TRINITY, 2ND FLOOR, 17, M.G.ROAD, BANGALORE - 560001-----Country of origin::CHINA-----"""
78,"""ether""","""Men Black Solid Polo Collar T-shirt with Printed Detail""",Rs. 899,Rs. 584,(35% OFF),"""{'Product Details ': '""Black solid T-shirt, has a polo collar, and short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Material:100% CottonMachine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Polo Collar,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11464976,Sold by: Omnitech Retail  Omnitech Retail ,"""Manufacturer/Packer/Importer Details::Kapoor Cotsyn exports,Kapoor Cotsyn exports,KAPOOR COTSYN EXPORTS,15 B TEXTILE COLONY INDUSTRIAL AREA A,Ludhiana,Punjab,141003,India-----Country of origin::India-----"""
79,"""HRX by Hrithik Roshan""","""Men Rust Red Printed T-shirt""",Rs. 1099,Rs. 714,(35% OFF),"""{'Product Details ': '""Be remembered for the right reasons with the HRX Men\'s Active T-shirt. Designed to complement tracks as well as trousers, this T-shirt is sure to become your go-to outfit.FeaturesActive T-shirt for your daily workoutsRapid Dry technology wicks sweat & dries fastZipper placket makes the T-shirt easier to wearStyle: High Neck with zipperSleeve: Full SleevesColour: Rust redPrint: AbstractFit: Regular""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% polyester  Machine-wash""', 'Specifications': '""""Fabric:Polyester,Fit:Regular Fit,Length:Regular,Main Trend:Abstract,Multipack Set:Single,Neck:Turtle Neck,Occasion:Sports,Pattern:Printed,Pattern Coverage:All-Over,Print or Pattern Type:Abstract,Sleeve Length:Long Sleeves,Sleeve Styling:Regular Sleeves,Technology:Rapid Dry,Wash Care:Machine Wash,""""'}""",1987407,Sold by: Omnitech Retail  Omnitech Retail ,"""Manufacturer/Packer/Importer Details::SHIV SUNDARAM,SHIV SUNDARAM,2ND FLOOR, 1490/50,GHALEYWAL IND AREA, NEAR EKTA COLONY, RAHON ROAD,LUDHIANA,PUNJAB,141007-----Country of origin::INDIA-----"""
80,"""Kook N Keech Marvel""","""Black Captain America Print T-shirt""",Rs. 699,Rs. 699,0,"""{'Product Details ': '""Black graphic print T-shirt, has a round neck, short sleeves""', 'Size & Fit': '""The model (height 6\' and shoulders 18"") is wearing a size M""', 'Material & Care': '""Cotton and\xa0polyester blendMachine-wash warm""', 'Specifications': '""""Fabric:Cotton,Fabric 2:Cotton,Fit:Regular Fit,Main Trend:Graphic Print Others,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Printed,Pattern Coverage:Full-Front,Print or Pattern Type:Superhero,Sleeve Length:Short Sleeves,""""'}""",1293737,Sold by: Indiflashmart  Indiflashmart ,"""Manufacturer/Packer/Importer Details::KOTHARI HOSIERY FACTORY PVT LTD,24 chawal patty road beleghata,KOLKATA,WEST BENGAL,700010-----Country of origin::INDIA-----"""
81,"""UNDER ARMOUR""","""Men Navy Blue Compression Fit HeatGear Solid T-Shirt""",Rs. 1999,Rs. 1999,0,"""{'Product Details ': '""Special technologiesHeatGear fabric is ultra-soft & smooth for extreme comfort with very little weightStretch-mesh underarm panels deliver strategic ventilationUPF 30 protects your skin from the sun\'s harmful rays4-way stretch construction moves better in every directionMaterial wicks sweat & dries really fastAnti-odor technology prevents the growth of odor-causing microbesProduct design detailsNavy blue solid T-shirtHas a round neckShort sleevesMesh panel on back neck with ARMOUR wordmarkCompression:\xa0Ultra-tight, second-skin fit for a locked-in feelAbout\xa0UNDER ARMOURCompression Fit HeatGear T-ShirtHeatGear(r) Armour is our original performance replacement for old-school T\'s. It\'s tight to wick away sweat and quick-drying to keep you cool. We\'ve come a long way since that first innovation--but that core, next-to-skin layer is still something no athlete can go without.""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""84% polyester, 16% elastaneMachine-wash""', 'Specifications': '""""Fabric:Polyester,Fabric 2:Elastane,Fit:Compression,Length:Regular,Main Trend:Nautical,Multipack Set:Single,Neck:Round Neck,Occasion:Sports,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Raglan Sleeves,Wash Care:Machine Wash,""""'}""",8902889,Sold by: Supercom Net  Supercom Net ,"""Manufacturer/Packer/Importer Details::UNITED TEXTILE INC TAIWAN BRANCH-----Country of origin::Cambodia-----"""
82,"""Polo Ralph Lauren""","""Men Custom Slim Fit Jersey T-Shirt""",Rs. 4990,Rs. 4990,0,"""{'Product Details ': '""We specially washed this crewneck T-shirt to give it the look and feel of that perfect vintage find but gave it a modern Polo update with our Custom Slim Fit.Crewneck.Short sleeves.Signature embroidered Pony at the left chest.""', 'Size & Fit': '""Custom Slim Fit: Slightly fitted through the chest and the waist.Size medium has a 27.189"" body length (front and back), a 17.190"" shoulder, and a 39"" chest.The model (height 6\') is wearing a size M""', 'Material & Care': '""Material: Cotton Machine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Slim Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11628646,Sold by: Supercom Net  Supercom Net ,"""Manufacturer/Packer/Importer Details::Imported by: Myntra Jabong India Pvt Ltd, 6/B, Vaishnavi Summit, 7th Main, 80 Feet Road, 3rd Block, Koramangla Ind, Bangaluru 560034, Karnataka, India-----Country of origin::Vietnam-----"""
83,"""Roadster""","""Grey Melange Printed T-shirt""",Rs. 499,Rs. 349,(30% OFF),"""{'Product Details ': '""Grey melange\xa0printed T-shirt, has a round neck, short sleeves""', 'Size & Fit': '""The model (height 6\' and shoulders 18"") is wearing a size M""', 'Material & Care': '""Cotton blendMachine-wash warmYou are unique and wouldn\'t like it if the Creator made too many people ditto.Similarly, this product is unique, handmade and crafted with love.There are no two products we make, which will ever be ditto.To maintain a high degree of authenticity, we advise our patrons to wash our products separately and expect some fading, colour bleeding and wear & tear.The article ages uniquely as you treat it, acquiring your personalised feel.Go on, enjoy this specially created product to the hilt.Have fun.""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Main Trend:Graphic Print Others,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Printed,Pattern Coverage:Full-Front,Print or Pattern Type:Biker,Sleeve Length:Short Sleeves,""""'}""",1072708,Sold by: Truenet Commerce  Truenet Commerce ,"""Manufacturer/Packer/Importer Details::ELAN APPARELS,2 / 2. KRISHNASAMY LAYOUT. THERKUTHOTTAM , KARUVAMPALAYAM TIRUPUR .641 604,TIRUPUR,TAMILNADU,641604-----Country of origin::INDIA-----"""
84,"""WROGN""","""Men Navy Blue & White Colourblocked Slim Fit Round Neck T-shirt""",Rs. 999,Rs. 649,(35% OFF),"""{'Product Details ': '""Navy Blue and White colourblocked T-shirt, has a round neck, and short sleeves""', 'Size & Fit': '""Slim FitThe model (height 6\') is wearing a size M""', 'Material & Care': '""Material: 100% cottonMachine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Slim Fit,Length:Regular,Main Trend:Colourblocked,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Colourblocked,Print or Pattern Type:Colourblocked,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11363296,Sold by: Flashstar Commerce  Flashstar Commerce ,"""Manufacturer/Packer/Importer Details::Universal SportsBiz Private Limited,NO. 500, 1st FLOOR, CMH ROAD, BINNAMANGALA, 2nd STAGE, INDIRANAGAR,,BANGALORE,KARNATAKA,560038-----Country of origin::India-----"""
85,"""WROGN""","""Men Black & Grey Colourblocked Slim Fit Round Neck T-shirt""",Rs. 899,Rs. 584,(35% OFF),"""{'Product Details ': '""Black and Grey colourblocked T-shirt, has a round neck, and short sleeves""', 'Size & Fit': '""Slim FitThe model (height 6\') is wearing a size M""', 'Material & Care': '""Material: 100% cottonMachine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Slim Fit,Length:Regular,Main Trend:Colourblocked,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Colourblocked,Print or Pattern Type:Colourblocked,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11363412,Sold by: Flashstar Commerce  Flashstar Commerce ,"""Manufacturer/Packer/Importer Details::Universal SportsBiz Private Limited,NO. 500, 1st FLOOR, CMH ROAD, BINNAMANGALA, 2nd STAGE, INDIRANAGAR,,BANGALORE,KARNATAKA,560038-----Country of origin::India-----"""
86,"""Roadster""","""Men Charcoal Grey & Maroon Striped Polo T-shirt""",Rs. 999,Rs. 549,(45% OFF),"""{'Product Details ': '""Charcoal grey, maroon and black striped T-shirt, has a polo collar, long sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""85% cotton, 15% polyesterMachine-wash""', 'Complete The Look': '""Soft, well-structured, and durable, you\'ll definitely love being the proud owner of this Roadster T-shirt.  When you\'re grabbing a quick meal with your friends, this charcoal piece looks great with slimmer pants and chukka boot.""'}""",1396023,Sold by: Truenet Commerce  Truenet Commerce ,"""Manufacturer/Packer/Importer Details::YES ENTERPRISES,2996/97,back side P.N.B Sunder Nagar,LUDHIANA,PUNJAB,141008-----Country of origin::INDIA-----"""
87,"""WROGN""","""Men Olive Green & Off-White Colourblocked T-shirt""",Rs. 1299,Rs. 1299,0,"""{'Product Details ': '""Olive Green and off-white colourblocked T-shirt, has a round neck, long sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""CottonMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Slim Fit,Length:Regular,Main Trend:Colourblocked,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Colourblocked,Print or Pattern Type:Colourblocked,Sleeve Length:Long Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",8426491,Sold by: Flashstar Commerce  Flashstar Commerce ,"""Manufacturer/Packer/Importer Details::Universal SportsBiz Private Limited,Universal Sports Biz Pvt. Ltd.Next SCM solutions Pvt. Ltd.,#88/3, Seggehalli village, Kadugodi,BANGALORE,KARNATAKA,560067-----Country of origin::INDIA-----"""
88,"""Roadster""","""Mustard Yellow Printed Round Neck T-shirt""",Rs. 399,Rs. 279,(30% OFF),"""{'Product Details ': '""Mustard yellow printed T-shirt with high-density paint detail, has a round neck, short sleeves""', 'Size & Fit': '""The model (height 6\' and shoulders 18"") is wearing a size L""', 'Material & Care': '""100% cottonMachine-wash cold""', 'Complete The Look': '""This trendy tee is a must-have in your casual wear collection this summer. Team it with a pair of heavily washed jeans and sandals to complete the ensemble.""'}""",1225877,Sold by: Truenet Commerce  Truenet Commerce ,"""Manufacturer/Packer/Importer Details::YES ENTERPRISES,2996/97,back side P.N.B Sunder Nagar,LUDHIANA,PUNJAB,141008-----Country of origin::INDIA-----"""
89,"""UNDER ARMOUR""","""Men Black Project Rock Blood Sweat Respect Tank T-shirt""",Rs. 2999,Rs. 2999,0,"""{'Product Details ': '""Special technologies4-way stretch construction moves better in every directionMaterial wicks sweat and\xa0dries really fastProduct design detailsLoose:\xa0Fuller cut for complete comfortCharged Cotton\xa0has the comfort of cotton, but dries much fasterGenerous dropped armholes for added mobility and\xa0full range of motionRibbed collarDropped, shaped hemDistressed graphic""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""57% cotton, 38% polyester and 5% elastaneMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fabric 2:Polyester,Fabric 3:Elastane,Fit:Loose,Length:Regular,Main Trend:Typography or Slogan Prints,Multipack Set:Single,Neck:Round Neck,Occasion:Sports,Pattern:Printed,Pattern Coverage:Chest,Print or Pattern Type:Typography,Sleeve Length:Sleeveless,Sleeve Styling:No Sleeves,Wash Care:Machine Wash,""""'}""",10819368,Sold by: Supercom Net  Supercom Net ,"""Manufacturer/Packer/Importer Details::CHERRY (SUZHOU) GARMENT LTD WUZHONG ECONOMIC DEVELOPMENT ZONE SUZHOU 215124-----Country of origin::China-----"""
90,"""Roadster""","""Men Olive Green Solid Raw Edge Round Neck T-shirt""",Rs. 399,Rs. 239,(40% OFF),"""{'Product Details ': '""Olive green solid T-shirt, has a round neck, short sleeves, and 1 pockets""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% cottonMachine-wash""', 'Complete The Look': '""Designed by the team at Roadster, you\'re definitely in for a style treat with this cotton T-shirt.  When you\'re attending an after-work happy hour, wear this olive piece with chinos and easy loafers.""'}""",1996795,Sold by: Truenet Commerce  Truenet Commerce ,"""Manufacturer/Packer/Importer Details::STALWART SOURCING SOLUTIONSMr. R. MANICKAM SHANKAR, 31/1, FIRST FLOOR, FIRST STREET, AMARJOTHI GARDEN, KANGEYAM ROAD, TIRUPUR 641 604,TIRUPUR,TAMILNADU,641604-----Country of origin::India-----"""
91,"""Roadster""","""Men Navy Blue & White Striped Round Neck T-shirt""",Rs. 699,Rs. 384,(45% OFF),"""{'Product Details ': '""Navy blue and white striped T-shirt, has a round neck, short sleeves, 1 pocket""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% cotton Machine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Nautical,Multipack Set:Single,Neck:Round Neck,Number of Pockets:1,Occasion:Casual,Pattern:Striped,Print or Pattern Type:Striped,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Surface Styling:Pockets,Wash Care:Machine Wash,""""'}""",1827327,Sold by: Truenet Commerce  Truenet Commerce ,"""Manufacturer/Packer/Importer Details::STAR APPAREL,H.NO:B-24-3102/6/1, STREET NO.1,,NIRANKARI COLONY, SUNDER NAGAR,,LUDHIANA,PUNJAB,141007-----Country of origin::INDIA-----"""
92,"""Levis""","""Men Pink Melange Solid V-Neck T-shirt""",Rs. 999,Rs. 999,0,"""{'Product Details ': '""Pink melange solid T-shirt, has a V-neck, and short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""52% Cotton 35% Polyester 13% ViscoseMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fabric 2:Polyester,Fabric 3:Viscose Rayon,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:V-Neck,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11165828,Sold by: Vision Star  Vision Star ,"""Manufacturer/Packer/Importer Details::PARAGON APPAREL PVT LTD,B-59 Hoisery Complex, Phase 2, Noida, Uttar Pradesh 201305-----Country of origin::INDIA-----"""
93,"""SINGLE""","""Men Maroon Printed Slim Fit Round Neck T-shirt""",Rs. 799,Rs. 639,(20% OFF),"""{'Product Details ': '""Maroon printed T-shirt, has a round neck, and sleeveless""', 'Size & Fit': '""Slim FitThe model (height 6\') is wearing a size M""', 'Material & Care': '""Material: 100% cottonMachine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Slim Fit,Length:Regular,Main Trend:Typography or Slogan Prints,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Printed,Pattern Coverage:Chest,Print or Pattern Type:Typography,Sleeve Length:Sleeveless,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11433702,Sold by: Supercom Net  Supercom Net ,"""Manufacturer/Packer/Importer Details::Universal SportsBiz Private Limited,NO. 500, 1st FLOOR, CMH ROAD, BINNAMANGALA, 2nd STAGE, INDIRANAGAR,,BANGALORE,KARNATAKA,560038-----Country of origin::India-----"""
94,"""Moda Rapido""","""'Power play' Red & Navy Polo T-Shirt""",Rs. 759,Rs. 607,(20% OFF),"""{'Product Details ': '""Red and navy blue poloT-shirt, has a polo neck with contrast collar, short button placket, short sleeves, vented hem""', 'Size & Fit': '""Slim fitThe model (height 6\' and shoulders 18"") is wearing a size M""', 'Material & Care': '""CottonMachine-wash cold""', 'Specifications': '""""Fabric:Cotton,Fit:Slim Fit,Neck:Polo Collar,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,""""'}""",813895,Sold by: Vision Star  Vision Star ,"""Manufacturer/Packer/Importer Details::SHRI GANAPATHI SOURSES,115/2 Behind SSK Knit Printers, Palladam Road, Mangalam, Tripur,TIRUPPUR,TAMILNADU,641663-----Country of origin::INDIA-----"""
95,"""Roadster""","""Men Navy Blue & Beige Printed Round Neck T-shirt""",Rs. 599,Rs. 599,0,"""{'Product Details ': '""Navy blue and beige printed T-shirt, has a round neck, and short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% cottonMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Graphic Print Others,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Printed,Pattern Coverage:Chest,Print or Pattern Type:Biker,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",10423574,Sold by: Truenet Commerce  Truenet Commerce ,"""Manufacturer/Packer/Importer Details::MACFIT FASHIONSNO-1,5/6 , SINGARAVELAN NAGAR,1ST STREET,SAKTHI THEATRE ROAD ,CHETTIPALAYAM,Tirupur,TAMILNADU,641603-----Country of origin::INDIA-----"""
96,"""Kook N Keech Marvel""","""Men Black Captain America Printed Round Neck T-shirt""",Rs. 599,Rs. 599,0,"""{'Product Details ': '""Black printed T-shirt, has a round neck, short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% CottonMachine-wash""', 'Specifications': '""""Character:Captain America,Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Graphic Print Others,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Printed,Pattern Coverage:Chest,Print or Pattern Type:Superhero,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",8972501,Sold by: Indiflashmart  Indiflashmart ,"""Manufacturer/Packer/Importer Details::RADHA GOVINDA TEXTILE,NETAJI SUBHASH NAGAR SOUTH P.O- GHOLA SODEPUR, KOLKATA - 700111,NETAJI SUBHASH NAGAR SOUTH P.O- GHOLA SODEPUR, KOLKATA - 700111,NORTH24PARGANAS,WEST BENGAL,700111-----Country of origin::INDIA-----"""
